track_id,track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_name,playlist_genre,playlist_subgenre,danceability,energy,key,speechiness,acousticness,liveness,valence,tempo,duration_ms
6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,66,I Don't Care (with Justin Bieber) [Loud Luxury Remix],6/14/2019,Pop Remix,pop,dance pop,0.75,0.92,6,0.06,0.1,0.07,0.52,122.04,194754
0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,Maroon 5,67,Memories (Dillon Francis Remix),12/13/2019,Pop Remix,pop,dance pop,0.73,0.82,11,0.04,0.07,0.36,0.69,99.97,162600
1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,Zara Larsson,70,All the Time (Don Diablo Remix),7/5/2019,Pop Remix,pop,dance pop,0.68,0.93,1,0.07,0.08,0.11,0.61,124.01,176616
75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,The Chainsmokers,60,Call You Mine - The Remixes,7/19/2019,Pop Remix,pop,dance pop,0.72,0.93,7,0.1,0.03,0.2,0.28,121.96,169093
1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi,69,Someone You Loved (Future Humans Remix),3/5/2019,Pop Remix,pop,dance pop,0.65,0.83,1,0.04,0.08,0.08,0.72,123.98,189052
7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,67,Beautiful People (feat. Khalid) [Jack Wins Remix],7/11/2019,Pop Remix,pop,dance pop,0.68,0.92,8,0.13,0.08,0.14,0.58,124.98,163049
2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,Katy Perry,62,Never Really Over (R3HAB Remix),7/26/2019,Pop Remix,pop,dance pop,0.45,0.86,5,0.06,0.19,0.18,0.15,112.65,187675
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,69,Post Malone (feat. RANI) [GATTÜSO Remix],8/29/2019,Pop Remix,pop,dance pop,0.54,0.9,4,0.04,0.03,0.11,0.37,127.94,207619
7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,Avicii,68,Tough Love (Tiësto Remix),6/14/2019,Pop Remix,pop,dance pop,0.59,0.94,8,0.06,0.02,0.64,0.37,127.02,193187
1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,Shawn Mendes,67,If I Can't Have You (Gryffin Remix),6/20/2019,Pop Remix,pop,dance pop,0.64,0.82,2,0.03,0.06,0.09,0.59,124.96,253040
3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,58,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],6/21/2019,Pop Remix,pop,dance pop,0.68,0.92,6,0.18,0.15,0.12,0.75,121.98,207894
3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,Ellie Goulding,67,Hate Me (R3HAB Remix),8/16/2019,Pop Remix,pop,dance pop,0.44,0.77,8,0.06,0.15,0.13,0.33,123.12,203733
6e0CvGZf7CouOpYF8toXHC,Body On My,Loud Luxury,67,Body On My,3/29/2019,Pop Remix,pop,dance pop,0.74,0.73,1,0.05,0.04,0.37,0.69,121.98,192507
3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,68,SOS (Laidback Luke Tribute Remix),5/17/2019,Pop Remix,pop,dance pop,0.57,0.92,5,0.06,0.01,0.34,0.68,123.92,164516
55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,63,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],7/12/2019,Pop Remix,pop,dance pop,0.69,0.78,5,0.06,0.01,0.07,0.24,126.07,255238
1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,66,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],12/11/2019,Pop Remix,pop,dance pop,0.8,0.84,0,0.09,0.13,0.36,0.72,125.03,188230
5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,AJ Mitchell,60,All My Friends (Eden Prince Remix),5/3/2019,Pop Remix,pop,dance pop,0.69,0.9,1,0.09,0.07,0.43,0.37,118.05,173548
3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,65,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],12/28/2018,Pop Remix,pop,dance pop,0.68,0.75,10,0.16,0.04,0.17,0.52,120,189375
0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,69,Dancing With A Stranger (With Normani) [Cheat Codes Remix],3/8/2019,Pop Remix,pop,dance pop,0.75,0.56,1,0.05,0.1,0.14,0.32,111.96,159404
2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,Steve Aoki,35,Let It Be Me (Remixes),10/18/2019,Pop Remix,pop,dance pop,0.47,0.82,7,0.09,0.01,0.13,0.23,122.68,185366
4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,Avicii,70,Heaven (David Guetta & MORTEN Remix),8/23/2019,Pop Remix,pop,dance pop,0.57,0.93,6,0.04,0,0.1,0.2,125.95,215238
3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,R3HAB,64,All Around The World (La La La) [Marnik Remix],8/23/2019,Pop Remix,pop,dance pop,0.71,0.91,9,0.03,0.09,0.11,0.71,135.02,170667
1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,62,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],5/8/2019,Pop Remix,pop,dance pop,0.68,0.82,4,0.13,0.05,0.12,0.34,123.94,210968
2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,70,Slow Dance (feat. Ava Max) [Sam Feldt Remix],10/25/2019,Pop Remix,pop,dance pop,0.73,0.85,1,0.04,0.11,0.04,0.37,124.02,193548
4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,58,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),5/24/2019,Pop Remix,pop,dance pop,0.62,0.89,11,0.04,0.02,0.4,0.42,110.02,205093
5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,63,Hold Me While You Wait (Steve Void Remix),6/21/2019,Pop Remix,pop,dance pop,0.68,0.76,11,0.04,0.1,0.33,0.47,124.93,172800
2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,Marshmello,66,One Thing Right (Remixes),8/9/2019,Pop Remix,pop,dance pop,0.68,0.85,1,0.04,0.01,0.03,0.35,126,192381
1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,8,Close To Me (Remixes),2/1/2019,Pop Remix,pop,dance pop,0.66,0.9,1,0.05,0.03,0.33,0.4,126,175000
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,62,So Am I (Toby Green Remix),5/23/2019,Pop Remix,pop,dance pop,0.62,0.94,6,0.05,0,0.09,0.37,128,166875
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,30,When You Leave (Breathe Carolina Remix),4/19/2019,Pop Remix,pop,dance pop,0.68,0.91,1,0.1,0.03,0.27,0.82,119.88,155080
